Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.60,21.90,25.80,30.90,76.20,94.90,111.90,133.90
Child,2 years,17.50,21.70,25.80,31.30,76.00,93.90,111.70,135.70
Child,3-5 years,19.30,23.90,29.70,35.40,83.50,103.70,128.50,153.40
Child,6-8 years,24.00,32.00,39.50,46.10,103.90,138.60,171.10,199.60
Child,9-11 years,28.20,36.10,46.20,53.50,122.30,156.50,200.20,231.90
Male,12-14 years,29.40,40.80,50.70,59.20,127.50,176.90,219.90,256.50
Male,15-19 years,30.20,41.90,52.70,61.00,130.70,181.70,228.50,264.10
Male,20-50 years,32.30,42.00,52.40,64.00,140.10,182.10,227.20,277.20
Male,51 years and over,29.40,40.00,49.40,59.20,127.20,173.30,214.00,256.30
Female,12-19 years,29.50,35.20,43.00,51.50,127.70,152.40,186.30,223.00
Female,20-50 years,29.40,36.60,44.80,57.70,127.50,158.50,194.20,250.10
Female,51 years and over,28.90,35.60,44.40,53.10,125.10,154.20,192.50,229.90
