Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.00,21.00,24.70,29.90,73.70,91.00,107.00,129.60
Child,2 years,17.00,20.90,24.60,30.00,73.70,90.60,106.60,130.00
Child,3-5 years,18.50,23.00,28.50,34.10,80.20,99.70,123.50,147.80
Child,6-8 years,23.10,30.80,38.10,44.30,100.10,133.50,165.10,192.00
Child,9-11 years,27.30,34.80,44.40,51.50,118.30,150.80,192.40,223.10
Male,12-14 years,28.30,39.40,48.60,57.20,122.60,170.70,210.60,247.80
Male,15-19 years,29.20,40.50,50.50,58.40,126.50,175.50,218.80,253.00
Male,20-50 years,31.20,40.50,50.30,61.10,135.20,175.50,217.90,264.70
Male,51 years and over,28.30,38.50,47.30,56.80,122.60,166.80,205.00,246.10
Female,12-19 years,28.20,33.80,41.00,49.50,122.20,146.50,177.70,214.50
Female,20-50 years,28.20,35.30,43.00,55.20,122.20,153.00,186.30,239.20
Female,51 years and over,27.70,34.20,42.60,50.90,120.00,148.20,184.60,220.50
