Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.00,22.50,26.30,31.80,78.20,97.60,114.10,137.60
Child,2 years,17.90,22.10,26.30,31.90,77.40,95.70,113.90,138.00
Child,3-5 years,19.60,24.30,30.00,36.00,84.70,105.10,130.00,156.10
Child,6-8 years,24.30,32.40,39.90,46.80,105.40,140.50,173.10,202.80
Child,9-11 years,28.50,36.50,46.70,54.20,123.60,158.30,202.20,235.00
Male,12-14 years,29.80,41.40,51.30,60.10,129.20,179.30,222.20,260.60
Male,15-19 years,30.70,42.50,53.10,61.60,132.90,184.10,230.00,267.00
Male,20-50 years,32.70,42.30,52.60,64.20,141.60,183.10,227.80,278.30
Male,51 years and over,29.70,40.20,49.60,59.40,128.50,174.30,214.90,257.50
Female,12-19 years,29.80,35.70,43.40,52.10,129.20,154.50,187.90,226.00
Female,20-50 years,29.70,36.80,45.00,58.00,128.70,159.50,195.00,251.50
Female,51 years and over,29.10,35.80,44.60,53.40,126.10,155.20,193.30,231.20
