Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.60,24.20,29.40,72.40,89.30,104.90,127.40
Child,2 years,16.70,20.60,24.20,29.40,72.40,89.30,104.90,127.40
Child,3-5 years,18.20,22.60,28.00,33.50,78.90,97.90,121.30,145.20
Child,6-8 years,22.70,30.20,37.40,43.50,98.40,130.90,162.10,188.50
Child,9-11 years,26.70,34.20,43.70,50.50,115.70,148.20,189.40,218.80
Male,12-14 years,27.70,38.60,47.80,56.10,120.00,167.30,207.10,243.10
Male,15-19 years,28.70,39.70,49.60,57.20,124.40,172.00,214.90,247.80
Male,20-50 years,30.70,39.80,49.60,60.00,133.00,172.50,214.90,260.00
Male,51 years and over,27.90,37.90,46.60,55.90,120.90,164.20,201.90,242.20
Female,12-19 years,27.70,33.20,40.40,48.60,120.00,143.90,175.10,210.60
Female,20-50 years,27.70,34.80,42.40,54.40,120.00,150.80,183.70,235.70
Female,51 years and over,27.30,33.80,42.00,50.10,118.30,146.50,182.00,217.10
