Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.80,26.00,29.90,36.00,86.00,112.70,129.50,156.10
Child,2-3 years,21.40,26.90,32.60,39.50,92.90,116.50,141.10,171.30
Child,4-5 years,22.20,28.10,34.60,42.20,96.20,121.70,150.00,183.00
Child,6-8 years,28.30,38.30,47.20,55.50,122.40,165.80,204.50,240.60
Child,9-11 years,32.30,42.60,54.60,63.80,139.90,184.60,236.40,276.50
Male,12-13 years,34.60,48.70,60.40,71.20,149.90,210.90,261.60,308.50
Male,14-18 years,36.00,50.30,63.00,71.80,156.10,218.10,272.80,311.30
Male,19-50 years,38.50,49.40,62.00,76.00,166.70,214.10,268.80,329.30
Male,51-70 years,35.20,46.90,57.50,69.40,152.30,203.00,249.20,300.90
Male,71+ years,35.40,46.40,57.40,70.60,153.30,201.00,248.80,306.00
Female,12-13 years,34.90,42.30,50.60,61.70,151.00,183.40,219.20,267.50
Female,14-18 years,34.30,42.40,51.40,63.00,148.60,183.70,222.80,273.00
Female,19-50 years,34.10,42.80,52.80,67.80,148.00,185.60,228.90,293.70
Female,51-70 years,33.80,41.90,52.10,61.90,146.60,181.50,225.70,268.30
Female,71+ years,32.90,41.40,51.40,61.80,142.60,179.30,222.60,267.80
