Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.50,19.10,22.40,27.30,67.20,82.80,97.10,118.30
Child,2 years,15.50,19.10,22.40,27.30,67.20,82.80,97.10,118.30
Child,3-5 years,16.80,20.90,25.90,31.00,72.80,90.60,112.20,134.30
Child,6-8 years,20.80,27.80,34.60,40.30,90.10,120.50,149.90,174.60
Child,9-11 years,24.80,31.50,40.20,46.70,107.50,136.50,174.20,202.40
Male,12-14 years,25.60,35.60,44.10,51.80,110.90,154.30,191.10,224.40
Male,15-19 years,26.30,36.60,45.60,52.70,114.00,158.60,197.60,228.30
Male,20-50 years,28.20,36.40,45.30,54.90,122.20,157.70,196.30,237.90
Male,51 years and over,25.40,34.60,42.70,51.20,110.10,149.90,185.00,221.80
Female,12-19 years,25.60,30.60,37.20,44.90,110.90,132.60,161.20,194.60
Female,20-50 years,25.50,31.70,38.70,49.50,110.50,137.40,167.70,214.50
Female,51 years and over,25.00,30.90,38.40,46.00,108.30,133.90,166.40,199.30
