Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.80,18.10,21.10,25.60,64.00,78.30,91.50,110.80
Child,3-5 years,16.00,19.80,24.40,29.30,69.40,85.80,105.90,127.10
Child,6-8 years,19.70,26.30,32.80,38.10,85.50,113.80,142.00,165.10
Child,9-11 years,23.40,29.80,38.20,44.20,101.50,129.30,165.30,191.50
Male,12-14 years,24.30,33.80,41.80,49.20,105.30,146.20,181.10,213.40
Male,15-19 years,25.10,34.80,43.30,50.10,108.80,150.70,187.60,217.10
Male,20-50 years,27.10,34.60,43.30,52.40,117.50,149.70,187.70,227.10
Male,51 years and over,24.50,33.00,40.70,48.80,106.10,143.20,176.40,211.60
Female,12-19 years,24.20,29.10,35.20,42.50,105.00,125.90,152.70,184.30
Female,20-50 years,24.40,30.40,36.90,47.30,105.80,131.60,159.90,204.80
Female,51 years and over,24.00,29.40,36.50,43.70,104.00,127.30,158.20,189.30
