Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.80,22.20,26.10,31.20,77.00,96.30,113.30,135.30
Child,2 years,17.70,22.10,26.20,31.70,76.90,95.60,113.60,137.20
Child,3-5 years,19.70,24.30,30.10,36.10,85.20,105.50,130.50,156.20
Child,6-8 years,24.60,32.70,40.30,46.90,106.70,141.50,174.40,203.20
Child,9-11 years,28.80,36.70,47.20,54.60,124.90,159.20,204.40,236.60
Male,12-14 years,30.10,41.50,51.60,60.50,130.20,179.90,223.40,262.10
Male,15-19 years,31.10,42.80,53.80,62.20,134.70,185.60,233.10,269.70
Male,20-50 years,33.20,42.90,53.70,65.40,143.70,186.00,232.70,283.30
Male,51 years and over,30.30,40.90,50.50,60.70,131.30,177.40,219.00,262.90
Female,12-19 years,30.10,36.00,43.80,52.70,130.30,156.00,189.90,228.20
Female,20-50 years,30.10,37.50,45.90,59.10,130.50,162.40,198.80,256.00
Female,51 years and over,29.70,36.40,45.40,54.50,128.50,157.80,196.90,236.20
