Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.00,26.40,30.20,36.30,86.60,114.30,130.80,157.30
Child,2-3 years,21.60,27.10,32.80,39.90,93.40,117.50,142.00,172.90
Child,4-5 years,22.30,28.20,34.90,42.30,96.80,122.20,151.20,183.10
Child,6-8 years,28.50,38.90,47.50,55.70,123.50,168.40,206.00,241.30
Child,9-11 years,32.50,42.60,55.10,64.20,140.80,184.50,238.60,278.00
Male,12-13 years,34.80,49.10,61.00,71.70,150.80,212.60,264.30,310.80
Male,14-18 years,35.90,50.30,63.10,72.40,155.60,218.10,273.50,313.50
Male,19-50 years,38.50,49.60,62.20,76.30,166.70,215.10,269.60,330.60
Male,51-70 years,35.20,46.90,57.90,69.90,152.50,203.40,251.00,302.80
Male,71+ years,35.40,46.50,57.70,70.90,153.40,201.50,249.80,307.30
Female,12-13 years,34.90,42.40,51.00,62.00,151.00,183.50,220.90,268.90
Female,14-18 years,34.40,42.50,51.50,63.10,148.90,184.40,223.10,273.60
Female,19-50 years,34.20,43.00,53.20,68.00,148.30,186.40,230.30,294.40
Female,51-70 years,33.90,42.00,52.20,62.30,146.70,182.10,226.20,269.80
Female,71+ years,33.20,41.70,51.80,62.20,143.90,180.50,224.30,269.70
