Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.20,26.50,30.40,37.10,87.50,114.60,131.60,160.60
Child,2-3 years,21.40,27.00,32.70,39.50,92.80,116.80,141.60,171.00
Child,4-5 years,22.40,28.30,34.80,42.70,97.20,122.80,150.70,184.90
Child,6-8 years,28.40,37.90,47.00,55.60,122.90,164.10,203.50,240.80
Child,9-11 years,32.80,43.30,54.60,64.30,142.20,187.50,236.70,278.60
Male,12-13 years,34.70,48.50,60.00,71.00,150.30,210.00,259.90,307.50
Male,14-18 years,36.10,50.10,61.90,72.30,156.30,217.00,268.20,313.10
Male,19-50 years,38.60,49.60,61.80,75.00,167.40,214.80,267.70,325.20
Male,51-70 years,35.40,47.20,57.50,69.70,153.30,204.40,249.00,302.00
Male,71+ years,35.40,46.70,57.70,69.90,153.50,202.50,250.20,303.00
Female,12-13 years,34.90,42.40,50.80,61.70,151.40,183.70,220.00,267.40
Female,14-18 years,34.70,42.40,50.90,62.50,150.20,183.90,220.40,270.70
Female,19-50 years,34.60,43.40,52.80,68.20,150.10,187.90,228.70,295.40
Female,51-70 years,34.10,42.20,52.30,62.70,147.90,182.90,226.70,271.50
Female,71+ years,33.50,42.00,52.40,62.90,145.10,182.20,226.90,272.50
