Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.60,17.80,20.90,25.30,63.30,77.30,90.40,109.50
Child,3-5 years,15.80,19.50,24.10,28.90,68.60,84.50,104.30,125.00
Child,6-8 years,19.50,25.90,32.20,37.50,84.30,112.20,139.70,162.40
Child,9-11 years,23.10,29.40,37.50,43.50,100.20,127.40,162.60,188.40
Male,12-14 years,23.90,33.20,41.10,48.40,103.70,143.80,178.20,209.70
Male,15-19 years,24.80,34.20,42.50,49.20,107.30,148.20,184.30,213.30
Male,20-50 years,26.60,33.90,42.30,51.30,115.40,146.80,183.30,222.10
Male,51 years and over,24.00,32.30,39.70,47.70,104.10,140.00,172.20,206.50
Female,12-19 years,23.90,28.60,34.60,41.80,103.60,123.80,150.10,181.20
Female,20-50 years,24.00,29.70,36.00,46.10,103.90,128.50,156.10,199.80
Female,51 years and over,23.60,28.70,35.60,42.70,102.10,124.50,154.40,184.80
