Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.90,26.30,30.20,36.30,86.30,114.20,130.70,157.20
Child,2-3 years,21.50,27.10,32.70,39.90,93.30,117.30,141.80,172.90
Child,4-5 years,22.30,28.20,34.80,42.20,96.60,122.00,150.90,182.70
Child,6-8 years,28.50,38.80,47.40,55.50,123.30,168.20,205.60,240.60
Child,9-11 years,32.50,42.40,55.00,64.10,140.80,183.90,238.10,277.60
Male,12-13 years,34.80,49.00,60.90,71.70,150.80,212.40,264.10,310.60
Male,14-18 years,36.00,50.40,63.10,72.30,156.00,218.30,273.30,313.40
Male,19-50 years,38.50,49.70,62.10,76.30,166.80,215.20,269.10,330.50
Male,51-70 years,35.20,46.90,57.90,69.80,152.60,203.40,250.70,302.50
Male,71+ years,35.40,46.60,57.70,70.80,153.20,201.80,250.00,306.80
Female,12-13 years,34.80,42.30,50.90,62.00,150.70,183.40,220.70,268.40
Female,14-18 years,34.30,42.50,51.40,63.00,148.80,184.20,222.80,273.10
Female,19-50 years,34.20,43.00,53.10,67.90,148.30,186.30,230.20,294.30
Female,51-70 years,33.90,42.00,52.10,62.20,146.70,181.90,225.90,269.40
Female,71+ years,33.20,41.60,51.70,62.10,143.80,180.30,223.90,269.20
