Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.00,18.50,21.70,26.30,65.00,80.20,94.00,114.00
Child,3-5 years,16.30,20.30,25.10,30.10,70.60,88.00,108.80,130.40
Child,6-8 years,20.20,27.00,33.60,39.10,87.50,117.00,145.60,169.40
Child,9-11 years,24.00,30.60,39.10,45.30,104.00,132.60,169.40,196.30
Male,12-14 years,24.90,34.60,42.80,50.40,107.90,149.90,185.50,218.40
Male,15-19 years,25.60,35.60,44.40,51.30,110.90,154.30,192.40,222.30
Male,20-50 years,27.60,35.50,44.30,53.70,119.60,153.80,192.00,232.70
Male,51 years and over,24.90,33.90,41.70,50.10,107.90,146.90,180.70,217.10
Female,12-19 years,24.70,29.80,36.10,43.70,107.00,129.10,156.40,189.40
Female,20-50 years,24.90,31.10,37.90,48.60,107.90,134.80,164.20,210.60
Female,51 years and over,24.40,30.10,37.50,44.90,105.70,130.40,162.50,194.60
