Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.40,23.50,27.20,33.10,79.80,101.70,117.70,143.60
Child,2 years,18.40,23.00,27.50,33.10,79.90,99.90,119.10,143.40
Child,3-5 years,20.50,25.30,31.20,37.90,88.80,109.70,135.10,164.30
Child,6-8 years,26.00,34.40,42.60,49.70,112.80,149.20,184.40,215.30
Child,9-11 years,30.40,38.70,49.40,57.80,131.70,167.60,214.20,250.50
Male,12-14 years,31.60,43.60,53.80,64.10,136.80,189.10,233.20,277.80
Male,15-19 years,33.00,45.30,56.10,65.50,142.90,196.20,243.00,283.90
Male,20-50 years,35.10,44.90,56.00,68.40,152.10,194.80,242.50,296.60
Male,51 years and over,32.00,42.70,52.70,63.60,138.70,185.20,228.20,275.80
Female,12-19 years,31.40,37.90,45.60,55.70,136.10,164.20,197.70,241.20
Female,20-50 years,31.60,39.20,47.80,61.70,137.00,169.80,207.30,267.40
Female,51 years and over,31.10,38.00,47.30,57.00,134.70,164.60,204.90,247.10
