Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.90,29.50,33.30,41.00,94.90,127.90,144.30,177.70
Child,2-3 years,24.00,30.90,37.10,45.30,103.80,133.80,160.90,196.10
Child,4-5 years,25.40,31.90,39.50,48.40,110.10,138.30,171.20,209.70
Child,6-8 years,32.40,45.30,54.00,64.10,140.20,196.50,233.90,277.70
Child,9-11 years,36.50,48.50,62.50,72.90,157.90,210.20,270.90,315.90
Male,12-13 years,39.10,55.50,69.70,81.70,169.40,240.50,301.80,354.00
Male,14-18 years,40.30,56.30,71.80,82.90,174.80,244.10,311.00,359.20
Male,19-50 years,43.50,56.30,70.40,86.70,188.60,243.80,305.10,375.60
Male,51-70 years,39.60,53.00,66.00,79.70,171.80,229.70,286.10,345.30
Male,71+ years,39.90,52.70,64.90,80.20,172.90,228.20,281.40,347.60
Female,12-13 years,39.10,47.90,57.60,70.90,169.50,207.60,249.60,307.30
Female,14-18 years,38.50,48.00,58.00,71.50,166.70,207.80,251.40,309.80
Female,19-50 years,38.60,48.90,60.10,76.90,167.40,211.80,260.50,333.10
Female,51-70 years,38.10,47.50,59.10,71.50,165.30,205.70,256.00,310.00
Female,71+ years,37.00,47.10,58.50,70.40,160.50,204.30,253.30,305.20
