Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.60,24.20,29.30,72.40,89.30,104.90,127.00
Child,2 years,16.70,20.60,24.10,29.40,72.40,89.30,104.40,127.40
Child,3-5 years,18.20,22.60,28.00,33.50,78.90,97.90,121.30,145.20
Child,6-8 years,22.70,30.10,37.40,43.40,98.40,130.40,162.10,188.10
Child,9-11 years,26.70,34.10,43.70,50.50,115.70,147.80,189.40,218.80
Male,12-14 years,27.70,38.60,47.70,56.00,120.00,167.30,206.70,242.60
Male,15-19 years,28.70,39.70,49.60,57.20,124.40,172.00,214.90,247.80
Male,20-50 years,30.60,39.80,49.60,60.00,132.60,172.50,214.90,260.00
Male,51 years and over,27.80,37.90,46.60,55.90,120.50,164.20,201.90,242.20
Female,12-19 years,27.70,33.20,40.40,48.60,120.00,143.90,175.10,210.60
Female,20-50 years,27.70,34.80,42.40,54.40,120.00,150.80,183.70,235.70
Female,51 years and over,27.30,33.80,41.90,50.10,118.30,146.50,181.60,217.10
