Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,22.00,29.30,33.20,40.60,95.30,127.00,143.80,176.10
Child,2-3 years,24.00,30.80,37.00,45.10,103.90,133.30,160.40,195.30
Child,4-5 years,25.30,31.70,39.30,48.00,109.60,137.60,170.40,208.00
Child,6-8 years,32.10,44.70,53.70,63.60,139.00,193.60,232.80,275.50
Child,9-11 years,36.20,48.30,62.20,72.40,157.00,209.30,269.40,313.80
Male,12-13 years,39.00,55.20,69.20,81.10,169.10,239.00,299.70,351.50
Male,14-18 years,40.20,56.00,71.40,82.00,174.30,242.70,309.40,355.30
Male,19-50 years,43.30,55.80,70.00,86.00,187.60,241.80,303.30,372.80
Male,51-70 years,39.50,52.70,65.70,79.00,171.30,228.40,284.50,342.40
Male,71+ years,39.80,52.30,64.60,79.80,172.50,226.80,279.70,345.80
Female,12-13 years,39.10,47.70,57.30,70.40,169.50,206.70,248.20,304.90
Female,14-18 years,38.40,47.60,57.80,71.10,166.50,206.40,250.30,307.90
Female,19-50 years,38.50,48.40,59.80,76.40,166.90,209.90,259.10,331.00
Female,51-70 years,38.10,47.30,58.90,71.00,164.90,204.80,255.20,307.80
Female,71+ years,36.90,46.90,58.10,70.00,159.90,203.10,251.80,303.50
