Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.60,20.40,23.90,29.00,71.90,88.40,103.60,125.70
Child,2 years,16.50,20.40,23.90,29.00,71.50,88.40,103.60,125.70
Child,3-5 years,18.00,22.40,27.70,33.20,78.00,97.10,120.00,143.90
Child,6-8 years,22.50,29.80,37.10,43.10,97.50,129.10,160.80,186.80
Child,9-11 years,26.40,33.80,43.20,50.00,114.40,146.50,187.20,216.70
Male,12-14 years,27.40,38.20,47.30,55.60,118.70,165.50,205.00,240.90
Male,15-19 years,28.30,39.40,49.10,56.60,122.60,170.70,212.80,245.20
Male,20-50 years,30.30,39.30,48.90,59.20,131.30,170.30,211.90,256.50
Male,51 years and over,27.50,37.40,45.90,55.10,119.20,162.10,198.90,238.70
Female,12-19 years,27.40,32.90,39.90,48.20,118.70,142.60,172.90,208.90
Female,20-50 years,27.40,34.30,41.80,53.50,118.70,148.60,181.10,231.80
Female,51 years and over,26.90,33.40,41.30,49.40,116.60,144.70,179.00,214.10
