Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.40,23.90,29.00,72.40,88.40,103.60,125.70
Child,2 years,16.70,20.40,23.90,29.00,72.40,88.40,103.60,125.70
Child,3-5 years,18.10,22.40,27.70,33.10,78.40,97.10,120.00,143.40
Child,6-8 years,22.60,29.80,37.10,43.10,97.90,129.10,160.80,186.80
Child,9-11 years,26.70,33.80,43.30,50.00,115.70,146.50,187.60,216.70
Male,12-14 years,27.70,38.20,47.30,55.70,120.00,165.50,205.00,241.30
Male,15-19 years,28.70,39.50,49.20,56.70,124.40,171.20,213.20,245.70
Male,20-50 years,30.60,39.30,48.90,59.20,132.60,170.30,211.90,256.50
Male,51 years and over,27.60,37.40,45.90,55.10,119.60,162.10,198.90,238.70
Female,12-19 years,27.60,32.90,40.00,48.20,119.60,142.60,173.30,208.90
Female,20-50 years,27.60,34.30,41.70,53.50,119.60,148.60,180.70,231.80
Female,51 years and over,26.90,33.40,41.30,49.30,116.60,144.70,179.00,213.60
