Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.20,20.00,23.50,28.60,70.20,86.70,101.80,123.90
Child,2 years,16.10,20.00,23.50,28.60,69.80,86.70,101.80,123.90
Child,3-5 years,17.60,21.90,27.20,32.60,76.30,94.90,117.90,141.30
Child,6-8 years,21.80,29.20,36.40,42.40,94.50,126.50,157.70,183.70
Child,9-11 years,25.80,33.10,42.30,49.10,111.80,143.40,183.30,212.80
Male,12-14 years,26.60,37.40,46.40,54.60,115.30,162.10,201.10,236.60
Male,15-19 years,27.40,38.50,48.10,55.50,118.70,166.80,208.40,240.50
Male,20-50 years,29.40,38.40,47.80,58.00,127.40,166.40,207.10,251.30
Male,51 years and over,26.70,36.50,45.00,54.00,115.70,158.20,195.00,234.00
Female,12-19 years,26.70,32.20,39.20,47.40,115.70,139.50,169.90,205.40
Female,20-50 years,26.70,33.50,40.80,52.50,115.70,145.20,176.80,227.50
Female,51 years and over,26.30,32.70,40.60,48.50,114.00,141.70,175.90,210.20
