Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,$21.90,$29.60,$33.40,$40.70,$94.70,$128.20,$144.60,$176.50
Child,2-3 years,$23.90,$30.70,$36.90,$45.10,$103.70,$133.00,$160.00,$195.50
Child,4-5 years,$25.20,$31.70,$39.40,$48.00,$109.30,$137.40,$170.70,$207.90
Child,6-8 years,$32.40,$45.50,$53.90,$63.70,$140.40,$197.00,$233.60,$275.80
Child,9-11 years,$36.40,$48.00,$62.40,$72.60,$157.90,$208.10,$270.50,$314.80
Male,12-13 years,$39.10,$55.50,$69.70,$81.60,$169.40,$240.60,$302.00,$353.70
Male,14-18 years,$40.20,$56.30,$71.90,$82.70,$174.10,$244.00,$311.60,$358.50
Male,19-50 years,$43.40,$56.20,$70.50,$86.80,$188.20,$243.50,$305.60,$376.20
Male,51-70 years,$39.50,$52.80,$66.10,$79.60,$171.30,$229.00,$286.30,$344.90
Male,71+ years,$39.80,$52.40,$64.90,$80.60,$172.60,$227.00,$281.40,$349.20
Female,12-13 years,$39.00,$47.70,$57.50,$70.70,$169.10,$206.80,$249.20,$306.40
Female,14-18 years,$38.30,$48.00,$58.10,$71.70,$166.10,$207.90,$251.80,$310.50
Female,19-50 years,$38.40,$48.70,$60.20,$76.60,$166.50,$211.10,$260.90,$332.00
Female,51-70 years,$38.00,$47.40,$59.00,$71.10,$164.70,$205.30,$255.40,$307.90
Female,71+ years,$37.10,$47.00,$58.30,$70.20,$160.80,$203.60,$252.80,$304.40
