Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.90,26.50,30.30,36.60,86.40,115.00,131.40,158.60
Child,2-3 years,21.50,27.20,32.90,40.10,93.40,118.10,142.50,173.70
Child,4-5 years,22.40,28.30,35.10,42.50,97.20,122.80,152.00,184.40
Child,6-8 years,28.60,39.10,47.80,56.00,124.00,169.40,207.00,242.80
Child,9-11 years,32.70,42.70,55.40,64.60,141.60,185.10,240.10,280.00
Male,12-13 years,34.90,49.20,61.20,72.10,151.00,213.20,265.30,312.30
Male,14-18 years,36.00,50.50,63.30,72.80,156.20,218.70,274.20,315.40
Male,19-50 years,38.70,49.90,62.50,76.50,167.60,216.30,270.60,331.60
Male,51-70 years,35.30,47.20,58.30,70.30,152.90,204.30,252.50,304.80
Male,71+ years,35.50,46.70,58.00,71.10,153.80,202.20,251.40,308.20
Female,12-13 years,34.90,42.50,51.30,62.40,151.10,184.10,222.20,270.40
Female,14-18 years,34.40,42.70,51.40,63.20,149.10,184.90,222.90,273.90
Female,19-50 years,34.40,43.30,53.30,68.20,149.00,187.40,230.90,295.60
Female,51-70 years,34.00,42.20,52.40,62.60,147.30,182.60,227.00,271.40
Female,71+ years,33.40,41.80,52.00,62.50,144.70,181.00,225.30,271.00
