Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.10,26.60,30.40,36.70,86.90,115.00,131.70,158.80
Child,2-3 years,21.60,27.20,32.90,40.00,93.60,117.80,142.60,173.40
Child,4-5 years,22.40,28.30,35.10,42.60,97.20,122.80,152.00,184.70
Child,6-8 years,28.60,39.00,47.70,56.10,124.00,168.90,206.70,243.10
Child,9-11 years,32.70,42.90,55.40,64.60,141.80,186.00,239.90,280.10
Male,12-13 years,34.90,49.20,61.20,72.10,151.30,213.20,265.30,312.20
Male,14-18 years,36.10,50.60,63.40,72.80,156.20,219.10,274.80,315.60
Male,19-50 years,38.70,49.90,62.50,76.70,167.60,216.30,270.80,332.20
Male,51-70 years,35.40,47.20,58.10,70.30,153.40,204.70,251.80,304.70
Male,71+ years,35.60,46.80,58.00,71.40,154.30,202.60,251.40,309.40
Female,12-13 years,35.00,42.60,51.30,62.40,151.80,184.60,222.20,270.20
Female,14-18 years,34.60,42.80,51.80,63.50,149.80,185.50,224.40,275.30
Female,19-50 years,34.40,43.30,53.50,68.50,149.20,187.70,231.70,296.60
Female,51-70 years,34.10,42.30,52.50,62.70,147.60,183.10,227.50,271.80
Female,71+ years,33.50,41.90,52.10,62.80,145.00,181.50,225.90,271.90
