Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.10,26.40,30.30,36.60,87.10,114.40,131.10,158.50
Child,2-3 years,21.70,27.20,32.90,39.90,93.80,117.70,142.50,172.90
Child,4-5 years,22.50,28.40,35.00,42.80,97.30,123.00,151.80,185.40
Child,6-8 years,28.60,38.70,47.70,56.20,123.90,167.60,206.50,243.60
Child,9-11 years,32.70,43.20,55.20,64.70,141.80,187.10,239.20,280.30
Male,12-13 years,35.00,49.20,61.00,72.00,151.50,213.10,264.30,311.80
Male,14-18 years,36.30,50.90,63.60,72.80,157.50,220.40,275.50,315.30
Male,19-50 years,38.90,50.00,62.70,76.80,168.50,216.70,271.70,332.70
Male,51-70 years,35.60,47.40,58.10,70.30,154.20,205.50,251.70,304.80
Male,71+ years,35.80,46.90,58.10,71.60,155.10,203.00,251.70,310.10
Female,12-13 years,35.20,42.80,51.20,62.40,152.70,185.60,221.90,270.50
Female,14-18 years,34.70,42.90,52.00,63.80,150.50,186.00,225.20,276.40
Female,19-50 years,34.50,43.40,53.50,68.60,149.70,188.20,231.70,297.40
Female,51-70 years,34.20,42.40,52.70,62.70,148.40,183.80,228.40,271.80
Female,71+ years,33.40,41.90,52.10,62.80,144.80,181.60,225.90,271.90
