Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.10,28.20,32.10,38.90,91.30,122.20,139.00,168.40
Child,2-3 years,23.00,29.10,35.20,42.90,99.50,125.90,152.40,185.90
Child,4-5 years,24.00,30.30,37.40,45.40,103.80,131.20,162.00,196.80
Child,6-8 years,30.60,41.90,50.90,59.90,132.40,181.50,220.60,259.30
Child,9-11 years,34.80,45.60,59.00,68.80,151.00,197.80,255.70,298.20
Male,12-13 years,37.20,52.50,65.50,76.90,161.30,227.60,284.00,333.40
Male,14-18 years,38.50,53.90,67.80,77.70,166.70,233.40,293.60,336.90
Male,19-50 years,41.30,53.30,66.70,82.00,179.10,231.00,289.00,355.30
Male,51-70 years,37.80,50.40,61.90,75.10,163.90,218.20,268.10,325.40
Male,71+ years,37.90,50.00,61.70,76.10,164.40,216.70,267.40,329.60
Female,12-13 years,37.30,45.50,54.60,66.60,161.70,197.20,236.60,288.60
Female,14-18 years,36.80,45.70,55.30,68.10,159.60,198.20,239.40,295.00
Female,19-50 years,36.70,46.30,57.10,73.10,158.90,200.50,247.40,316.60
Female,51-70 years,36.30,45.20,55.90,67.00,157.10,195.70,242.20,290.30
Female,71+ years,35.60,44.80,55.60,66.90,154.10,194.30,240.80,289.70
