Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.50,20.30,23.80,28.90,71.50,88.00,103.10,125.20
Child,2 years,16.50,20.30,23.80,28.90,71.50,88.00,103.10,125.20
Child,3-5 years,17.90,22.30,27.60,33.00,77.60,96.60,119.60,143.00
Child,6-8 years,22.20,29.60,36.90,43.00,96.20,128.30,159.90,186.30
Child,9-11 years,26.30,33.60,43.00,49.80,114.00,145.60,186.30,215.80
Male,12-14 years,27.30,38.00,47.10,55.40,118.30,164.70,204.10,240.00
Male,15-19 years,28.00,39.20,48.80,56.40,121.30,169.90,211.50,244.40
Male,20-50 years,30.00,39.00,48.50,58.70,130.00,169.00,210.20,254.30
Male,51 years and over,27.10,37.10,45.60,54.70,117.40,160.80,197.60,237.00
Female,12-19 years,27.30,32.80,39.80,48.00,118.30,142.10,172.50,208.00
Female,20-50 years,27.30,34.00,41.40,53.10,118.30,147.30,179.40,230.10
Female,51 years and over,26.70,33.20,41.10,49.10,115.70,143.90,178.10,212.80
