Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.70,18.00,21.10,25.50,63.80,78.10,91.40,110.70
Child,3-5 years,16.00,19.80,24.40,29.30,69.20,85.60,105.80,126.90
Child,6-8 years,19.70,26.20,32.70,38.10,85.20,113.60,141.70,164.90
Child,9-11 years,23.30,29.80,38.10,44.10,101.20,129.10,165.00,191.10
Male,12-14 years,24.20,33.70,41.80,49.20,104.90,146.00,180.90,213.00,FEMALE:,24.20,29.00,35.20,42.50,104.70,125.70,152.50,184.20
Male,15-19 years,25.00,34.70,43.20,50.00,108.40,150.50,187.30,216.70,12-19 years,24.30,30.30,36.80,47.20,105.20,131.20,159.50,204.40
Male,20-50 years,27.00,34.50,43.20,52.30,117.00,149.40,187.30,226.70,20-50 years,23.90,29.30,36.40,43.60,103.50,127.10,157.90,188.90
Female,12-19 years,24.20,29.00,35.20,42.50,104.70,125.70,152.50,184.20
Female,20-50 years,24.30,30.30,36.80,47.20,105.20,131.20,159.50,204.40
Female,51 years and over,23.90,29.30,36.40,43.60,103.50,127.10,157.90,188.90
