Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.80,18.20,21.20,25.70,64.30,78.70,92.00,111.50
Child,3-5 years,16.10,19.90,24.60,29.50,69.80,86.30,106.60,128.00
Child,6-8 years,19.80,26.40,33.00,38.30,85.80,114.50,142.90,166.10
Child,9-11 years,23.50,30.00,38.40,44.50,101.90,130.00,166.20,192.80
Male,12-14 years,24.40,33.90,42.00,49.50,105.50,146.90,182.00,214.40
Male,15-19 years,25.20,35.00,43.50,50.40,109.20,151.50,188.50,218.30
Male,20-50 years,27.20,34.70,43.50,52.70,117.90,150.40,188.60,228.30
Male,51 years and over,24.60,33.20,40.90,49.10,106.40,143.90,177.30,212.70
Female,12-19 years,24.40,29.20,35.40,42.70,105.60,126.50,153.30,185.20
Female,20-50 years,24.50,30.50,37.10,47.40,106.20,132.20,160.70,205.60
Female,51 years and over,24.10,29.50,36.70,43.90,104.30,128.00,159.00,190.40
