Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.60,19.30,22.60,27.50,67.60,83.60,97.90,119.20
Child,2 years,15.60,19.30,22.60,27.50,67.60,83.60,97.90,119.20
Child,3-5 years,16.90,21.10,26.10,31.30,73.20,91.40,113.10,135.60
Child,6-8 years,20.90,28.00,34.90,40.60,90.60,121.30,151.20,175.90
Child,9-11 years,24.70,31.80,40.50,47.00,107.00,137.80,175.50,203.70
Male,12-14 years,25.60,35.80,44.50,52.20,110.90,155.10,192.80,226.20
Male,15-19 years,26.30,36.90,46.00,53.00,114.00,159.90,199.30,229.60
Male,20-50 years,28.20,36.60,45.60,55.20,122.20,158.60,197.60,239.20
Male,51 years and over,25.50,34.80,42.90,51.50,110.50,150.80,185.90,223.10
Female,12-19 years,25.60,30.90,37.50,45.30,110.90,133.90,162.50,196.30
Female,20-50 years,25.50,31.90,38.90,49.90,110.50,138.20,168.60,216.20
Female,51 years and over,25.10,31.10,38.70,46.30,108.80,134.80,167.70,200.60
