Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.70,22.30,26.10,31.10,76.80,96.60,113.10,134.90
Child,2 years,17.70,22.00,26.30,31.70,76.90,95.50,113.80,137.50
Child,3-5 years,19.60,24.40,30.10,36.00,85.10,105.50,130.40,156.10
Child,6-8 years,24.60,32.70,40.40,47.10,106.80,141.90,174.90,204.20
Child,9-11 years,28.90,36.90,47.20,54.80,125.20,159.80,204.60,237.40
Male,12-14 years,30.20,41.70,51.80,60.70,130.70,180.70,224.30,263.10
Male,15-19 years,31.10,43.00,53.90,62.50,134.90,186.40,233.50,270.60
Male,20-50 years,33.30,43.00,53.70,65.50,144.10,186.20,232.50,283.60
Male,51 years and over,30.30,40.90,50.50,60.60,131.10,177.20,218.80,262.50
Female,12-19 years,30.10,36.00,43.90,52.80,130.60,156.10,190.00,228.60
Female,20-50 years,30.20,37.40,45.80,59.00,130.70,162.10,198.60,255.60
Female,51 years and over,29.60,36.40,45.40,54.40,128.30,157.60,196.60,235.60
