Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.10,28.30,32.10,39.00,91.60,122.60,139.20,169.00
Child,2-3 years,23.10,29.20,35.40,43.10,100.00,126.40,153.20,186.60
Child,4-5 years,24.00,30.40,37.50,45.70,104.20,131.80,162.60,197.80
Child,6-8 years,30.70,42.10,51.10,60.20,133.00,182.50,221.60,260.90
Child,9-11 years,35.00,45.90,59.30,69.10,151.50,198.80,256.80,299.50
Male,12-13 years,37.40,52.80,65.90,77.30,161.90,228.60,285.70,335.00
Male,14-18 years,38.50,54.00,68.10,78.10,166.90,234.00,295.10,338.30
Male,19-50 years,41.50,53.50,67.00,82.50,179.70,232.00,290.30,357.30
Male,51-70 years,37.90,50.50,62.20,75.40,164.40,219.00,269.30,326.80
Male,71+ years,38.10,50.30,62.00,76.50,165.10,217.80,268.60,331.40
Female,12-13 years,37.50,45.70,54.80,66.90,162.50,198.00,237.50,289.70
Female,14-18 years,37.00,45.90,55.60,68.50,160.10,199.10,240.90,296.60
Female,19-50 years,36.80,46.50,57.40,73.40,159.60,201.50,248.90,318.30
Female,51-70 years,36.40,45.40,56.20,67.30,157.60,196.60,243.40,291.80
Female,71+ years,35.70,45.10,55.80,67.20,154.60,195.50,241.90,291.10
