Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,15.90,19.50,22.90,27.90,68.90,84.50,99.20,120.90
Child,2 years,15.80,19.50,22.90,27.90,68.50,84.50,99.20,120.90
Child,3-5 years,17.10,21.40,26.50,31.80,74.10,92.70,114.80,137.80
Child,6-8 years,21.20,28.50,35.40,41.20,91.90,123.50,153.40,178.50
Child,9-11 years,25.10,32.30,41.30,47.80,108.80,140.00,179.00,207.10
Male,12-14 years,25.90,36.40,45.20,53.20,112.20,157.70,195.90,230.50
Male,15-19 years,26.70,37.50,46.80,54.00,115.70,162.50,202.80,234.00
Male,20-50 years,28.50,37.30,46.50,56.40,123.50,161.60,201.50,244.40
Male,51 years and over,26.00,35.60,43.80,52.60,112.70,154.30,189.80,227.90
Female,12-19 years,25.90,31.40,38.20,46.10,112.20,136.10,165.50,199.80
Female,20-50 years,25.90,32.70,39.80,51.10,112.20,141.70,172.50,221.40
Female,51 years and over,25.60,31.80,39.50,47.20,110.90,137.80,171.20,204.50
