Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.70,20.60,24.20,29.30,72.40,89.30,104.90,127.00
Child,2 years,16.60,20.60,24.20,29.30,71.90,89.30,104.90,127.00
Child,3-5 years,18.10,22.60,27.90,33.40,78.40,97.90,120.90,144.70
Child,6-8 years,22.70,30.00,37.40,43.50,98.40,130.00,162.10,188.50
Child,9-11 years,26.70,34.10,43.60,50.40,115.70,147.80,188.90,218.40
Male,12-14 years,27.70,38.50,47.60,56.10,120.00,166.80,206.30,243.10
Male,15-19 years,28.70,39.70,49.50,57.10,124.40,172.00,214.50,247.40
Male,20-50 years,30.60,39.70,49.40,59.80,132.60,172.00,214.10,259.10
Male,51 years and over,27.80,37.80,46.50,55.70,120.50,163.80,201.50,241.30
Female,12-19 years,27.70,33.20,40.20,48.60,120.00,143.90,174.20,210.60
Female,20-50 years,27.70,34.70,42.20,54.20,120.00,150.40,182.90,234.80
Female,51 years and over,27.20,33.70,41.80,49.90,117.90,146.00,181.10,216.20
