Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.30,28.50,32.40,39.30,92.20,123.50,140.40,170.20
Child,2-3 years,23.20,29.40,35.60,43.40,100.70,127.30,154.30,188.10
Child,4-5 years,24.20,30.60,37.80,45.90,104.90,132.70,163.80,198.90
Child,6-8 years,30.90,42.40,51.50,60.50,134.00,183.50,223.00,262.30
Child,9-11 years,35.30,46.20,59.70,69.60,152.80,200.00,258.60,301.70
Male,12-13 years,37.70,53.20,66.50,77.90,163.30,230.70,288.20,337.70
Male,14-18 years,38.90,54.60,68.60,78.70,168.80,236.50,297.10,341.10
Male,19-50 years,41.80,54.00,67.50,83.00,181.30,234.20,292.30,359.70
Male,51-70 years,38.30,51.00,62.70,76.00,165.80,220.90,271.50,329.40
Male,71+ years,38.40,50.70,62.50,77.00,166.40,219.70,270.80,333.70
Female,12-13 years,37.70,46.10,55.20,67.30,163.50,199.70,239.20,291.60
Female,14-18 years,37.20,46.30,55.90,68.90,161.40,200.80,242.10,298.50
Female,19-50 years,37.20,46.90,57.90,74.00,161.00,203.30,250.80,320.70
Female,51-70 years,36.70,45.80,56.60,67.90,159.00,198.40,245.40,294.00
Female,71+ years,36.00,45.60,56.30,67.70,155.90,197.40,244.10,293.50
