Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.80,22.40,26.20,31.20,77.30,97.00,113.60,135.30
Child,2 years,17.90,22.20,26.30,31.90,77.40,96.10,113.90,138.20
Child,3-5 years,19.70,24.50,30.20,36.20,85.40,106.00,131.00,156.70
Child,6-8 years,24.70,32.90,40.60,47.40,107.10,142.60,175.80,205.60
Child,9-11 years,29.10,37.10,47.40,55.00,126.00,160.80,205.40,238.30
Male,12-14 years,30.30,42.00,52.10,61.10,131.50,182.10,225.60,264.70
Male,15-19 years,31.30,43.30,54.00,62.60,135.70,187.50,234.20,271.40
Male,20-50 years,33.40,43.10,53.70,65.50,144.90,186.80,232.70,283.90
Male,51 years and over,30.30,40.90,50.50,60.60,131.10,177.40,218.90,262.50
Female,12-19 years,30.30,36.20,44.00,53.00,131.30,156.80,190.80,229.50
Female,20-50 years,30.30,37.50,45.80,59.00,131.10,162.30,198.70,255.50
Female,51 years and over,29.60,36.40,45.40,54.30,128.30,157.80,196.80,235.40
