Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.90,29.50,33.30,40.80,94.80,128.00,144.40,176.90
Child,2-3 years,23.90,30.80,37.00,45.10,103.70,133.30,160.30,195.50
Child,4-5 years,25.30,31.80,39.40,48.10,109.50,137.60,170.80,208.30
Child,6-8 years,32.30,45.30,53.90,63.80,139.80,196.30,233.50,276.30
Child,9-11 years,36.30,48.10,62.40,72.50,157.30,208.60,270.30,314.40
Male,12-13 years,38.90,55.20,69.40,81.40,168.70,239.30,300.60,352.60
Male,14-18 years,39.90,55.80,71.50,82.40,173.00,241.90,309.60,356.80
Male,19-50 years,43.20,55.90,70.10,86.50,187.20,242.40,303.80,374.60
Male,51-70 years,39.30,52.70,65.80,79.30,170.40,228.30,285.20,343.70
Male,71+ years,39.70,52.40,64.80,80.10,171.90,227.10,280.60,347.00
Female,12-13 years,38.90,47.60,57.40,70.50,168.50,206.00,248.80,305.70
Female,14-18 years,38.20,47.70,57.90,71.20,165.50,206.70,250.90,308.50
Female,19-50 years,38.40,48.60,60.00,76.50,166.30,210.40,259.90,331.50
Female,51-70 years,37.80,47.20,58.80,71.10,164.00,204.40,254.60,307.90
Female,71+ years,37.00,46.90,58.20,70.10,160.20,203.30,252.20,303.80
