Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.50,28.90,32.70,39.80,93.10,125.00,141.80,172.50
Child,2-3 years,23.50,30.00,36.20,44.00,101.90,129.80,156.70,190.80
Child,4-5 years,24.60,31.00,38.50,46.70,106.50,134.40,166.60,202.10
Child,6-8 years,31.30,43.10,52.50,61.70,135.60,186.90,227.40,267.40
Child,9-11 years,35.70,46.80,60.70,70.80,154.50,202.90,263.20,307.00
Male,12-13 years,38.20,54.00,67.60,79.30,165.70,233.90,293.10,343.40
Male,14-18 years,39.50,55.10,69.90,79.90,171.10,238.90,302.80,346.10
Male,19-50 years,42.50,54.70,68.60,84.10,184.10,237.00,297.30,364.20
Male,51-70 years,38.70,51.70,64.30,77.30,167.90,223.90,278.70,335.00
Male,71+ years,39.10,51.10,63.50,78.30,169.30,221.60,275.20,339.20
Female,12-13 years,38.20,46.80,56.10,68.60,165.60,202.60,243.20,297.10
Female,14-18 years,37.60,46.80,56.50,69.50,163.10,202.80,244.70,301.10
Female,19-50 years,37.70,47.40,58.60,74.80,163.50,205.50,254.00,324.10
Female,51-70 years,37.40,46.40,57.80,69.10,162.00,201.00,250.40,299.60
Female,71+ years,36.40,45.90,57.00,68.60,157.90,199.00,247.00,297.20
