Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.90,29.30,33.10,40.80,95.10,126.80,143.50,177.00
Child,2-3 years,23.90,30.80,37.10,45.10,103.80,133.40,160.60,195.20
Child,4-5 years,25.30,31.80,39.40,48.30,109.80,137.80,170.60,209.50
Child,6-8 years,32.10,44.60,53.70,64.00,139.00,193.30,232.80,277.10
Child,9-11 years,36.30,48.60,62.30,72.70,157.10,210.70,269.90,315.00
Male,12-13 years,39.00,55.20,69.30,81.30,169.00,239.10,300.10,352.10
Male,14-18 years,40.20,56.10,71.40,82.20,174.30,243.00,309.40,356.20
Male,19-50 years,43.30,55.90,70.00,86.00,187.70,242.20,303.40,372.70
Male,51-70 years,39.50,52.80,65.60,79.20,171.30,228.80,284.30,343.20
Male,71+ years,39.80,52.30,64.50,79.80,172.60,226.80,279.60,345.70
Female,12-13 years,39.20,47.80,57.40,70.50,169.70,207.20,248.50,305.40
Female,14-18 years,38.50,47.70,57.70,71.10,166.70,206.70,250.20,308.20
Female,19-50 years,38.60,48.60,59.80,76.60,167.10,210.70,259.10,331.80
Female,51-70 years,38.10,47.30,59.00,71.40,165.00,205.00,255.60,309.30
Female,71+ years,36.90,46.90,58.20,70.20,159.80,203.20,252.10,304.30
