Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.80,26.30,30.20,36.40,86.00,114.20,130.80,157.70
Child,2-3 years,21.50,26.90,32.70,39.70,93.00,116.50,141.60,172.00
Child,4-5 years,22.20,28.10,34.80,42.40,96.10,122.00,150.80,183.80
Child,6-8 years,28.30,38.30,47.30,55.70,122.80,166.10,205.10,241.50
Child,9-11 years,32.50,42.60,55.00,64.20,140.90,184.60,238.30,278.10
Male,12-13 years,34.60,48.70,60.70,71.50,150.00,210.90,263.00,309.60
Male,14-18 years,35.60,50.10,62.90,71.90,154.40,217.00,272.40,311.70
Male,19-50 years,38.40,49.50,62.10,76.10,166.30,214.50,268.90,329.90
Male,51-70 years,35.10,46.80,57.50,69.70,151.90,202.90,249.10,301.90
Male,71+ years,35.30,46.30,57.70,71.00,153.10,200.80,249.90,307.50
Female,12-13 years,34.80,42.20,50.90,61.70,150.80,182.90,220.60,267.50
Female,14-18 years,34.30,42.50,51.50,63.20,148.50,184.20,223.20,273.70
Female,19-50 years,34.10,43.00,53.10,68.00,147.90,186.20,230.30,294.80
Female,51-70 years,33.70,41.90,52.10,62.10,146.10,181.40,225.60,269.10
Female,71+ years,33.30,41.50,51.70,62.30,144.20,179.80,224.00,269.90
