Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.10,19.80,23.20,28.20,69.80,85.80,100.50,122.20
Child,2 years,16.00,19.80,23.20,28.20,69.30,85.80,100.50,122.20
Child,3-5 years,17.40,21.70,26.90,32.20,75.40,94.00,116.60,139.50
Child,6-8 years,21.60,28.90,35.90,41.80,93.60,125.20,155.60,181.10
Child,9-11 years,25.50,32.70,41.90,48.40,110.50,141.70,181.60,209.70
Male,12-14 years,26.30,37.00,45.90,53.90,114.00,160.30,198.90,233.50
Male,15-19 years,27.20,38.10,47.50,54.80,117.90,165.10,205.80,237.40
Male,20-50 years,29.00,38.00,47.30,57.40,125.70,164.70,205.00,248.70
Male,51 years and over,26.50,36.20,44.50,53.50,114.80,156.90,192.80,231.80
Female,12-19 years,26.40,31.90,38.80,46.90,114.40,138.20,168.10,203.20
Female,20-50 years,26.40,33.20,40.50,52.10,114.40,143.90,175.50,225.70
Female,51 years and over,26.10,32.30,40.20,48.00,113.10,140.00,174.20,208.00
