Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.60,26.40,31.60,77.40,98.00,114.20,136.90
Child,2 years,17.90,22.40,26.60,32.10,77.70,96.90,115.30,139.30
Child,3-5 years,19.90,24.60,30.40,36.60,86.10,106.80,131.70,158.40
Child,6-8 years,25.10,33.30,41.10,48.00,108.70,144.30,178.30,208.00
Child,9-11 years,29.50,37.50,48.00,55.90,127.70,162.70,207.90,242.20
Male,12-14 years,30.60,42.50,52.40,62.00,132.80,184.00,227.10,268.70
Male,15-19 years,31.90,44.00,54.60,63.50,138.00,190.40,236.40,275.00
Male,20-50 years,33.90,43.70,54.30,66.40,147.10,189.10,235.50,287.90
Male,51 years and over,30.80,41.40,51.10,61.60,133.40,179.50,221.30,266.70
Female,12-19 years,30.50,36.70,44.30,53.70,132.20,158.80,192.00,232.90
Female,20-50 years,30.60,38.00,46.40,59.70,132.70,164.50,200.90,258.80
Female,51 years and over,30.00,36.80,45.80,55.10,130.00,159.60,198.60,238.80
