Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.00,28.30,32.40,38.70,90.90,122.70,140.40,167.80
Child,2-3 years,22.40,28.50,34.40,42.00,97.20,123.70,149.20,181.90
Child,4-5 years,23.50,29.70,37.00,44.30,101.60,128.70,160.10,191.90
Child,6-8 years,29.90,40.80,49.90,58.30,129.80,176.60,216.30,252.50
Child,9-11 years,34.70,44.40,58.30,68.00,150.30,192.20,252.50,294.80
Male,12-13 years,36.40,51.20,63.70,75.20,157.70,222.00,276.10,326.00
Male,14-18 years,37.70,52.70,65.80,76.30,163.20,228.40,285.00,330.60
Male,19-50 years,40.40,52.20,65.00,79.80,175.20,226.30,281.80,345.80
Male,51-70 years,37.00,49.50,60.60,73.80,160.30,214.40,262.70,319.60
Male,71+ years,37.00,48.80,61.10,74.70,160.40,211.40,264.60,323.80
Female,12-13 years,36.30,44.40,54.10,65.10,157.50,192.40,234.40,281.90
Female,14-18 years,36.10,44.80,53.70,66.10,156.50,194.10,232.60,286.60
Female,19-50 years,36.00,45.30,55.90,71.60,155.80,196.50,242.30,310.40
Female,51-70 years,35.70,44.20,54.80,65.60,154.60,191.60,237.40,284.20
Female,71+ years,35.60,43.90,54.90,66.20,154.30,190.10,238.10,286.90
