Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.60,29.00,32.80,40.20,93.60,125.60,142.20,174.00
Child,2-3 years,23.70,30.20,36.50,44.40,102.50,131.00,158.20,192.50
Child,4-5 years,24.80,31.30,38.80,47.30,107.60,135.60,168.00,204.80
Child,6-8 years,31.60,43.60,52.90,62.50,136.80,189.00,229.20,270.90
Child,9-11 years,35.80,47.40,61.30,71.40,155.20,205.50,265.70,309.40
Male,12-13 years,38.40,54.40,68.20,79.90,166.60,235.50,295.50,346.40
Male,14-18 years,39.60,55.30,70.30,80.50,171.70,239.80,304.50,349.00
Male,19-50 years,42.70,55.00,69.00,84.60,184.90,238.30,298.90,366.70
Male,51-70 years,38.90,51.90,64.60,77.90,168.50,225.00,279.80,337.50
Male,71+ years,39.20,51.40,63.70,78.60,169.90,222.80,275.90,340.80
Female,12-13 years,38.50,47.00,56.50,69.10,166.70,203.70,244.90,299.60
Female,14-18 years,37.80,47.10,56.80,70.00,163.80,203.90,246.10,303.20
Female,19-50 years,37.90,47.80,58.90,75.30,164.30,207.00,255.30,326.30
Female,51-70 years,37.50,46.60,58.00,69.80,162.40,202.10,251.50,302.60
Female,71+ years,36.50,46.20,57.30,69.10,158.20,200.20,248.40,299.20
