Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.50,28.80,32.70,39.60,93.40,124.90,141.90,171.70
Child,2-3 years,23.40,29.60,35.80,43.60,101.50,128.10,155.20,188.90
Child,4-5 years,24.40,30.80,38.10,46.30,105.60,133.50,165.20,200.60
Child,6-8 years,31.20,42.90,52.00,61.10,135.40,185.70,225.20,264.80
Child,9-11 years,35.60,46.60,60.30,70.30,154.00,201.90,261.30,304.40
Male,12-13 years,38.00,53.70,67.30,78.70,164.90,232.80,291.60,340.90
Male,14-18 years,39.00,54.80,69.10,79.40,168.90,237.30,299.60,344.30
Male,19-50 years,42.10,54.40,68.20,83.60,182.40,235.90,295.50,362.00
Male,51-70 years,38.40,51.30,63.60,76.80,166.50,222.20,275.60,332.60
Male,71+ years,38.80,50.90,63.20,77.80,167.90,220.50,273.70,337.20
Female,12-13 years,38.10,46.30,55.70,67.90,164.90,200.50,241.20,294.30
Female,14-18 years,37.50,46.60,56.20,69.30,162.40,202.00,243.70,300.10
Female,19-50 years,37.50,47.30,58.40,74.40,162.40,204.70,253.20,322.60
Female,51-70 years,37.00,46.10,57.20,68.50,160.10,199.60,247.90,296.80
Female,71+ years,36.40,45.90,56.90,68.50,157.80,198.90,246.70,296.60
