Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.60,26.40,31.70,77.70,97.90,114.30,137.20
Child,2 years,18.00,22.30,26.60,32.10,77.80,96.70,115.20,139.10
Child,3-5 years,19.80,24.60,30.40,36.50,86.00,106.60,131.60,158.20
Child,6-8 years,25.00,33.20,41.00,47.90,108.30,143.80,177.50,207.50
Child,9-11 years,29.30,37.40,47.80,55.60,127.00,162.00,207.10,240.70
Male,12-14 years,30.60,42.30,52.40,61.70,132.50,183.20,226.90,267.40
Male,15-19 years,31.70,43.60,54.40,63.20,137.20,189.00,235.80,273.90
Male,20-50 years,33.80,43.50,54.20,66.20,146.40,188.40,234.70,286.70
Male,51 years and over,30.70,41.30,51.00,61.30,132.90,179.10,221.00,265.40
Female,12-19 years,30.50,36.50,44.40,53.50,132.20,158.20,192.20,231.70
Female,20-50 years,30.50,37.80,46.30,59.60,132.30,163.90,200.50,258.10
Female,51 years and over,30.00,36.80,45.80,54.90,129.80,159.30,198.60,238.00
