Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.40,26.80,30.80,37.40,88.30,116.30,133.30,162.00
Child,2-3 years,21.60,27.20,33.00,39.90,93.70,117.90,142.80,173.00
Child,4-5 years,22.60,28.50,35.10,42.90,97.90,123.70,152.20,186.00
Child,6-8 years,28.60,38.40,47.40,56.00,124.10,166.40,205.50,242.60
Child,9-11 years,33.20,43.40,55.20,64.90,143.80,188.20,239.20,281.20
Male,12-13 years,35.10,49.00,60.70,71.70,151.90,212.10,263.10,310.80
Male,14-18 years,36.50,50.60,62.80,73.00,158.00,219.40,272.20,316.10
Male,19-50 years,39.10,50.10,62.50,76.00,169.30,216.90,270.70,329.40
Male,51-70 years,35.80,47.60,58.10,70.40,155.20,206.30,251.60,305.10
Male,71+ years,35.80,47.10,58.30,71.00,155.30,204.10,252.60,307.80
Female,12-13 years,35.30,42.80,51.40,62.30,152.90,185.60,222.50,270.00
Female,14-18 years,35.00,43.00,51.60,63.40,151.80,186.10,223.50,274.70
Female,19-50 years,34.90,43.70,53.50,68.80,151.20,189.60,231.60,298.30
Female,51-70 years,34.50,42.60,52.90,63.20,149.50,184.80,229.10,273.80
Female,71+ years,33.90,42.40,52.90,63.50,146.90,183.70,229.10,275.30
