Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.60,20.50,24.10,29.30,71.90,88.80,104.40,127.00
Child,2 years,16.60,20.50,24.10,29.30,71.90,88.80,104.40,127.00
Child,3-5 years,18.10,22.50,27.90,33.40,78.40,97.50,120.90,144.70
Child,6-8 years,22.60,30.00,37.30,43.40,97.90,130.00,161.60,188.10
Child,9-11 years,26.50,34.00,43.40,50.30,114.80,147.30,188.10,217.90
Male,12-14 years,27.50,38.40,47.50,55.90,119.20,166.40,205.80,242.20
Male,15-19 years,28.50,39.60,49.30,56.90,123.50,171.60,213.60,246.50
Male,20-50 years,30.50,39.50,49.10,59.50,132.20,171.20,212.80,257.80
Male,51 years and over,27.70,37.60,46.20,55.50,120.00,162.90,200.20,240.50
Female,12-19 years,27.50,33.10,40.10,48.40,119.20,143.40,173.80,209.70
Female,20-50 years,27.50,34.50,42.00,53.90,119.20,149.50,182.00,233.50
Female,51 years and over,27.10,33.60,41.70,49.70,117.40,145.60,180.70,215.40
