Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,18.00,22.70,26.50,31.90,77.80,98.50,114.80,138.30
Child,2 years,18.00,22.40,26.70,32.20,77.80,97.00,115.70,139.50
Child,3-5 years,19.90,24.70,30.50,36.70,86.40,107.00,132.00,159.20
Child,6-8 years,25.20,33.40,41.20,48.20,109.10,144.90,178.70,208.70
Child,9-11 years,29.50,37.60,48.10,56.00,127.80,162.90,208.40,242.70
Male,12-14 years,30.70,42.50,52.50,62.10,133.10,184.10,227.50,269.10
Male,15-19 years,31.90,44.00,54.70,63.60,138.20,190.50,237.00,275.70
Male,20-50 years,34.00,43.70,54.50,66.60,147.20,189.50,236.10,288.50
Male,51 years and over,30.90,41.50,51.20,61.70,133.80,180.00,222.10,267.50
Female,12-19 years,30.60,36.80,44.50,53.90,132.70,159.40,192.90,233.50
Female,20-50 years,30.70,38.10,46.60,60.00,133.10,165.00,201.80,260.00
Female,51 years and over,30.20,37.00,46.00,55.40,130.60,160.10,199.50,239.90
