Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,21.30,28.50,32.30,39.50,92.30,123.50,140.00,171.10
Child,2-3 years,23.30,29.40,35.70,43.40,100.90,127.40,154.60,188.10
Child,4-5 years,24.30,30.70,37.90,46.40,105.30,133.20,164.10,201.00
Child,6-8 years,31.10,42.60,51.70,61.10,134.60,184.70,223.90,265.00
Child,9-11 years,35.20,46.70,59.90,69.90,152.70,202.30,259.50,302.70
Male,12-13 years,37.80,53.40,67.00,78.30,163.80,231.50,290.30,339.30
Male,14-18 years,38.90,54.50,68.90,79.10,168.40,236.30,298.70,342.70
Male,19-50 years,42.00,54.20,68.00,83.30,182.00,235.00,294.40,361.00
Male,51-70 years,38.30,51.10,63.20,76.30,165.80,221.30,274.00,330.80
Male,71+ years,38.60,50.80,62.70,77.30,167.40,220.10,271.70,335.10
Female,12-13 years,37.90,46.20,55.20,67.70,164.40,200.20,239.40,293.40
Female,14-18 years,37.30,46.40,56.10,69.10,161.60,201.20,243.30,299.50
Female,19-50 years,37.40,47.10,58.20,74.30,161.90,204.20,252.00,321.80
Female,51-70 years,36.80,45.90,57.00,68.40,159.30,198.90,247.00,296.20
Female,71+ years,36.00,45.70,56.60,68.00,155.90,198.20,245.00,294.60
