Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.40,20.20,23.70,28.80,71.10,87.50,102.70,124.80
Child,2 years,16.40,20.20,23.70,28.80,71.10,87.50,102.70,124.80
Child,3-5 years,17.80,22.20,27.40,32.90,77.10,96.20,118.70,142.60
Child,6-8 years,22.10,29.50,36.80,42.80,95.80,127.80,159.50,185.50
Child,9-11 years,26.20,33.40,42.80,49.60,113.50,144.70,185.50,214.90
Male,12-14 years,27.10,37.80,46.90,55.20,117.40,163.80,203.20,239.20
Male,15-19 years,27.90,39.00,48.60,56.10,120.90,169.00,210.60,243.10
Male,20-50 years,29.80,38.80,48.30,58.50,129.10,168.10,209.30,253.50
Male,51 years and over,27.00,36.90,45.40,54.50,117.00,159.90,196.70,236.10
Female,12-19 years,27.10,32.60,39.60,47.80,117.40,141.30,171.60,207.10
Female,20-50 years,27.10,33.90,41.20,52.90,117.40,146.90,178.50,229.20
Female,51 years and over,26.60,33.00,40.90,48.90,115.30,143.00,177.20,211.90
