Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.80,18.10,21.20,25.70,64.10,78.60,92.00,111.50
Child,3-5 years,16.00,19.90,24.60,29.40,69.50,86.10,106.40,127.50
Child,6-8 years,19.70,26.40,32.80,38.20,85.50,114.30,142.30,165.70
Child,9-11 years,23.50,29.90,38.30,44.30,101.60,129.80,165.80,192.10
Male,12-14 years,24.40,33.80,41.90,49.30,105.50,146.70,181.70,213.80,FEMALE:,24.30,29.20,35.40,42.70,105.10,126.50,153.30,185.10
Male,15-19 years,25.10,34.90,43.40,50.10,108.80,151.10,188.00,217.20,12-19 years,24.50,30.40,36.90,47.40,106.10,131.70,160.00,205.30
Male,20-50 years,27.10,34.70,43.30,52.40,117.60,150.30,187.40,227.00,20-50 years,24.10,29.50,36.60,43.70,104.40,127.70,158.40,189.50
Female,12-19 years,24.30,29.20,35.40,42.70,105.10,126.50,153.30,185.10
Female,20-50 years,24.50,30.40,36.90,47.40,106.10,131.70,160.00,205.30
Female,51 years and over,24.10,29.50,36.60,43.70,104.40,127.70,158.40,189.50
