Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.50,17.70,20.80,25.20,62.80,76.90,90.00,109.10
Child,3-5 years,15.70,19.40,23.90,28.70,68.10,84.00,103.80,124.40
Child,6-8 years,19.30,25.70,32.10,37.30,83.60,111.50,138.90,161.50
Child,9-11 years,22.90,29.20,37.30,43.30,99.40,126.70,161.80,187.40
Male,12-14 years,23.70,33.00,40.90,48.10,102.90,143.10,177.30,208.60
Male,15-19 years,24.50,34.00,42.30,49.00,106.30,147.30,183.30,212.20
Male,20-50 years,26.40,33.70,42.10,51.10,114.50,146.10,182.50,221.20
Male,51 years and over,23.80,32.20,39.60,47.50,103.30,139.40,171.50,205.80
Female,12-19 years,23.70,28.40,34.50,41.60,102.80,123.20,149.30,180.40
Female,20-50 years,23.80,29.50,35.90,46.00,103.00,127.90,155.50,199.20
Female,51 years and over,23.40,28.60,35.50,42.50,101.30,124.00,153.90,184.30
