Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.20,25.20,29.00,35.30,83.30,109.10,125.50,153.00
Child,2-3 years,20.30,25.60,30.90,37.50,87.80,110.80,133.70,162.40
Child,4-5 years,21.20,26.70,32.90,40.10,91.80,115.90,142.50,173.80
Child,6-8 years,26.80,36.10,44.50,52.30,116.20,156.20,192.70,226.80
Child,9-11 years,30.90,40.60,51.70,60.60,134.00,175.80,224.10,262.60
Male,12-13 years,32.70,45.80,56.50,67.00,141.70,198.30,244.70,290.50
Male,14-18 years,33.90,47.10,58.20,68.10,146.80,204.00,252.20,295.10
Male,19-50 years,36.30,46.90,58.00,71.00,157.40,203.10,251.40,307.60
Male,51-70 years,33.20,44.40,54.70,65.80,143.80,192.40,237.00,285.30
Male,71+ years,33.30,44.40,54.80,65.90,144.20,192.20,237.60,285.60
Female,12-13 years,32.60,39.80,48.00,58.10,141.40,172.30,208.00,251.90
Female,14-18 years,32.40,39.80,47.90,58.20,140.40,172.50,207.70,252.10
Female,19-50 years,32.70,40.90,49.80,64.20,141.60,177.00,215.70,278.10
Female,51-70 years,32.10,39.60,49.20,59.00,139.10,171.40,213.10,255.60
Female,71+ years,31.60,39.50,49.20,59.10,136.80,171.30,213.30,256.00
