Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.80,26.50,31.70,77.70,98.70,114.80,137.30
Child,2 years,18.00,22.50,26.80,32.40,78.10,97.50,116.00,140.30
Child,3-5 years,20.00,24.80,30.60,36.80,86.60,107.50,132.40,159.30
Child,6-8 years,25.30,33.60,41.50,48.40,109.50,145.50,179.70,209.90
Child,9-11 years,29.70,37.90,48.30,56.30,128.70,164.00,209.30,244.10
Male,12-14 years,30.90,42.80,52.80,62.50,133.90,185.60,228.90,271.00
Male,15-19 years,32.10,44.30,54.90,63.90,139.20,192.10,238.00,277.10
Male,20-50 years,34.20,44.00,54.60,66.80,148.40,190.40,236.70,289.60
Male,51 years and over,30.90,41.60,51.30,61.80,134.10,180.30,222.30,267.90
Female,12-19 years,30.70,36.90,44.60,54.10,133.10,159.90,193.20,234.60
Female,20-50 years,30.80,38.10,46.60,60.00,133.60,165.20,201.80,259.90
Female,51 years and over,30.10,37.00,46.00,55.30,130.60,160.30,199.40,239.60
