Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,19.70,26.10,29.90,36.10,85.40,113.10,129.60,156.60
Child,2-3 years,21.40,26.80,32.60,39.50,92.70,116.10,141.10,171.30
Child,4-5 years,22.10,28.00,34.60,42.30,95.80,121.50,150.00,183.40
Child,6-8 years,28.30,38.30,47.20,55.60,122.40,165.80,204.30,241.00
Child,9-11 years,32.30,42.50,54.70,63.90,139.90,184.20,237.00,276.80
Male,12-13 years,34.50,48.60,60.50,71.20,149.50,210.40,262.30,308.70
Male,14-18 years,35.60,50.00,62.80,71.70,154.30,216.60,272.10,310.70
Male,19-50 years,38.30,49.30,61.90,76.00,165.80,213.80,268.20,329.40
Male,51-70 years,35.00,46.70,57.30,69.40,151.40,202.20,248.30,300.80
Male,71+ years,35.20,46.20,57.40,70.70,152.70,200.30,248.70,306.30
Female,12-13 years,34.70,42.10,50.60,61.60,150.30,182.60,219.40,266.90
Female,14-18 years,34.10,42.40,51.40,63.00,147.90,183.50,222.90,273.10
Female,19-50 years,34.00,42.80,52.90,67.80,147.30,185.50,229.40,293.80
Female,51-70 years,33.60,41.70,51.90,61.90,145.60,180.80,224.90,268.20
Female,71+ years,33.00,41.30,51.40,61.90,142.90,179.10,222.70,268.20
