Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.90,22.40,26.30,31.60,77.30,97.10,113.80,136.90
Child,2 years,17.80,22.10,26.40,31.90,77.20,95.90,114.60,138.20
Child,3-5 years,19.70,24.40,30.10,36.20,85.20,105.60,130.60,156.70
Child,6-8 years,24.60,32.70,40.40,47.20,106.70,141.70,175.10,204.50
Child,9-11 years,28.90,36.90,47.20,54.90,125.10,159.80,204.70,237.70
Male,12-14 years,30.10,41.70,51.70,60.80,130.50,180.60,224.10,263.50
Male,15-19 years,31.10,43.00,53.80,62.50,134.80,186.20,232.90,270.70
Male,20-50 years,33.20,42.90,53.60,65.40,144.00,186.00,232.10,283.50
Male,51 years and over,30.30,40.90,50.50,60.70,131.40,177.40,218.80,262.90
Female,12-19 years,30.10,36.00,43.80,52.80,130.30,156.00,189.90,229.00
Female,20-50 years,30.10,37.40,45.80,59.00,130.40,162.10,198.40,255.60
Female,51 years and over,29.60,36.40,45.40,54.40,128.40,157.80,196.70,235.70
