Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.00,18.40,21.70,26.20,65.00,79.70,94.00,113.50
Child,3-5 years,16.20,20.20,25.00,30.00,70.20,87.50,108.30,130.00
Child,6-8 years,20.10,26.90,33.40,38.90,87.10,116.60,144.70,168.60
Child,9-11 years,23.90,30.50,39.00,45.10,103.60,132.20,169.00,195.40
Male,12-14 years,24.80,34.40,42.70,50.20,107.50,149.10,185.00,217.50
Male,15-19 years,25.50,35.50,44.20,51.10,110.50,153.80,191.50,221.40
Male,20-50 years,27.50,35.40,44.20,53.60,119.20,153.40,191.50,232.20
Male,51 years and over,24.80,33.80,41.60,50.00,107.50,146.50,180.30,216.70
Female,12-19 years,24.60,29.70,36.10,43.60,106.60,128.70,156.40,188.90
Female,20-50 years,24.90,31.00,37.80,48.60,107.90,134.30,163.80,210.60
Female,51 years and over,24.40,30.10,37.50,44.80,105.70,130.40,162.50,194.10
