Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.80,20.80,24.50,29.60,72.80,90.10,106.20,128.30
Child,2 years,16.80,20.80,24.40,29.70,72.80,90.10,105.70,128.70
Child,3-5 years,18.30,22.80,28.20,33.70,79.30,98.80,122.20,146.00
Child,6-8 years,22.90,30.40,37.80,43.90,99.20,131.70,163.80,190.20
Child,9-11 years,27.00,34.50,44.10,51.00,117.00,149.50,191.10,221.00
Male,12-14 years,28.00,38.90,48.20,56.60,121.30,168.60,208.90,245.20
Male,15-19 years,28.90,40.20,50.10,57.90,125.20,174.20,217.10,250.90
Male,20-50 years,31.00,40.20,50.00,60.70,134.30,174.20,216.70,263.00
Male,51 years and over,28.10,38.30,47.10,56.50,121.80,166.00,204.10,244.80
Female,12-19 years,27.90,33.50,40.70,49.10,120.90,145.20,176.40,212.80
Female,20-50 years,28.00,35.00,42.70,54.90,121.30,151.70,185.00,237.90
Female,51 years and over,27.50,34.10,42.30,50.60,119.20,147.80,183.30,219.20
