Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,17.50,21.70,25.50,31.30,75.80,94.00,110.50,135.60
Child,2 years,17.40,21.40,25.40,30.80,75.40,92.70,110.10,133.50
Child,3-5 years,19.00,23.50,29.10,35.20,82.30,101.80,126.10,152.50
Child,6-8 years,23.80,31.70,39.10,45.50,103.10,137.40,169.40,197.20
Child,9-11 years,27.90,35.60,45.50,53.00,120.90,154.30,197.20,229.60
Male,12-14 years,29.00,40.20,49.70,58.70,125.70,174.20,215.40,254.30
Male,15-19 years,29.90,41.40,51.70,60.10,129.60,179.40,224.00,260.40
Male,20-50 years,32.00,41.40,51.70,63.00,138.70,179.40,224.00,273.00
Male,51 years and over,29.30,39.60,48.80,58.70,127.00,171.60,211.50,254.30
Female,12-19 years,29.00,34.80,42.20,51.00,125.70,150.80,182.90,221.00
Female,20-50 years,29.10,36.20,44.20,57.10,126.10,156.90,191.50,247.40
Female,51 years and over,28.70,35.20,43.80,52.70,124.40,152.50,189.80,228.30
