Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,20.40,27.30,31.30,37.90,88.20,118.40,135.40,164.10
Child,2-3 years,22.00,28.00,33.90,41.20,95.30,121.40,146.70,178.30
Child,4-5 years,23.10,29.20,36.20,44.00,100.00,126.50,156.70,190.60
Child,6-8 years,29.30,39.90,49.00,57.80,127.10,172.70,212.30,250.50
Child,9-11 years,33.80,44.10,57.10,66.80,146.30,191.00,247.40,289.60
Male,12-13 years,35.70,50.30,62.70,74.00,154.70,218.20,271.80,320.70
Male,14-18 years,37.10,51.90,64.80,74.90,160.60,225.10,280.90,324.60
Male,19-50 years,39.80,51.30,64.00,78.40,172.40,222.40,277.50,339.70
Male,51-70 years,36.30,48.60,59.60,72.50,157.40,210.60,258.10,314.00
Male,71+ years,36.40,47.80,59.60,73.10,157.80,207.30,258.30,316.80
Female,12-13 years,35.80,43.80,52.90,64.10,155.20,189.80,229.40,277.80
Female,14-18 years,35.40,44.00,52.70,65.00,153.50,190.50,228.40,281.70
Female,19-50 years,35.30,44.60,54.70,70.30,153.10,193.40,237.10,304.80
Female,51-70 years,35.00,43.40,53.90,64.70,151.80,188.10,233.60,280.30
Female,71+ years,34.50,42.90,53.60,64.70,149.50,185.90,232.40,280.20
