Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1 year,16.30,20.10,23.60,28.60,70.60,87.10,102.30,123.90
Child,2 years,16.20,20.10,23.60,28.60,70.20,87.10,102.30,123.90
Child,3-5 years,17.70,22.00,27.30,32.70,76.70,95.30,118.30,141.70
Child,6-8 years,21.90,29.30,36.50,42.50,94.90,127.00,158.20,184.20
Child,9-11 years,26.00,33.20,42.50,49.30,112.70,143.90,184.20,213.60
Male,12-14 years,26.90,37.60,46.60,54.80,116.60,162.90,201.90,237.40
Male,15-19 years,27.70,38.80,48.30,55.70,120.00,168.10,209.30,241.30
Male,20-50 years,29.60,38.50,48.00,58.20,128.30,166.80,208.00,252.20
Male,51 years and over,26.80,36.60,45.10,54.20,116.10,158.60,195.40,234.80
Female,12-19 years,26.90,32.40,39.30,47.50,116.60,140.40,170.30,205.80
Female,20-50 years,26.90,33.60,41.00,52.60,116.60,145.60,177.70,227.90
Female,51 years and over,26.40,32.80,40.70,48.60,114.40,142.10,176.40,210.60
