Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,14.70,17.90,20.90,25.30,63.70,77.50,90.60,109.60
Child,3-5 years,15.90,19.60,24.10,28.90,69.00,84.90,104.60,125.40
Child,6-8 years,19.60,26.00,32.40,37.60,84.80,112.50,140.20,162.90
Child,9-11 years,23.20,29.50,37.60,43.60,100.70,127.80,163.10,189.00
Male,12-14 years,24.10,33.30,41.20,48.50,104.30,144.40,178.70,210.30
Male,15-19 years,24.90,34.40,42.70,49.40,108.00,148.90,184.90,214.00
Male,20-50 years,26.80,34.00,42.40,51.30,115.90,147.30,183.80,222.30
Male,51 years and over,24.20,32.40,39.80,47.70,104.70,140.40,172.40,206.60
Female,12-19 years,24.10,28.70,34.70,41.90,104.40,124.40,150.50,181.60
Female,20-50 years,24.10,29.80,36.10,46.10,104.50,129.00,156.40,199.80
Female,51 years and over,23.70,28.80,35.70,42.70,102.60,124.90,154.60,184.80
