Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.10,18.50,21.80,26.40,65.40,80.20,94.50,114.40
Child,3-5 years,16.30,20.30,25.10,30.10,70.60,88.00,108.80,130.40
Child,6-8 years,20.20,27.00,33.60,39.20,87.50,117.00,145.60,169.90
Child,9-11 years,24.00,30.60,39.20,45.30,104.00,132.60,169.90,196.30
Male,12-14 years,25.00,34.60,42.90,50.50,108.30,149.90,185.90,218.80
Male,15-19 years,25.70,35.70,44.50,51.40,111.40,154.70,192.80,222.70
Male,20-50 years,27.80,35.70,44.60,54.10,120.50,154.70,193.30,234.40
Male,51 years and over,25.10,34.10,42.00,50.50,108.80,147.80,182.00,218.80
Female,12-19 years,24.80,29.90,36.30,43.90,107.50,129.60,157.30,190.20
Female,20-50 years,25.20,31.40,38.30,49.20,109.20,136.10,166.00,213.20
Female,51 years and over,24.80,30.50,37.90,45.30,107.50,132.20,164.20,196.30
