Group,Age,Weekly Thrifty Plan,Weekly Low-Cost Plan,Weekly Moderate-Cost Plan,Weekly Liberal Plan,Monthly Thrifty Plan,Monthly Low-Cost Plan,Monthly Moderate-Cost Plan,Monthly Liberal Plan
Child,1-2 years,15.40,19.00,22.30,27.10,66.70,82.30,96.60,117.40
Child,3-5 years,16.70,20.80,25.70,30.80,72.40,90.10,111.40,133.50
Child,6-8 years,20.60,27.60,34.30,39.90,89.30,119.60,148.60,172.90
Child,9-11 years,24.50,31.30,39.90,46.30,106.20,135.60,172.90,200.60
Male,12-14 years,25.30,35.30,43.70,51.30,109.60,153.00,189.40,222.30
Male,15-19 years,26.00,36.20,45.20,52.20,112.70,156.90,195.90,226.20
Male,20-50 years,28.00,36.00,44.90,54.40,121.30,156.00,194.60,235.70
Male,51 years and over,25.20,34.30,42.30,50.80,109.20,148.60,183.30,220.10
Female,12-19 years,25.20,30.40,36.80,44.50,109.20,131.70,159.50,192.80
Female,20-50 years,25.20,31.50,38.30,49.10,109.20,136.50,166.00,212.80
Female,51 years and over,24.80,30.60,38.10,45.60,107.50,132.60,165.10,197.60
